tag,count
Assets,261280
LiabilitiesAndStockholdersEquity,259841
StockholdersEquity,233073
RetainedEarningsAccumulatedDeficit,225753
CommonStockValue,215910
CashAndCashEquivalentsAtCarryingValue,210734
CommonStockSharesAuthorized,209604
CommonStockSharesIssued,205252
AssetsCurrent,204454
LiabilitiesCurrent,202619
PropertyPlantAndEquipmentNet,200678
Liabilities,200253
CommonStockParOrStatedValuePerShare,199246
CommonStockSharesOutstanding,184152
AccumulatedOtherComprehensiveIncomeLossNetOfTax,149883
AccountsPayableCurrent,142722
CommitmentsAndContingencies,140318
PreferredStockSharesAuthorized,130660
AdditionalPaidInCapital,128483
AccountsReceivableNetCurrent,127110
PreferredStockValue,125518
OtherAssetsNoncurrent,124633
PreferredStockParOrStatedValuePerShare,117242
Goodwill,111934
PreferredStockSharesIssued,109037
InventoryNet,105728
AdditionalPaidInCapitalCommonStock,99183
OtherLiabilitiesNoncurrent,97157
AccruedLiabilitiesCurrent,94541
PreferredStockSharesOutstanding,93909
PrepaidExpenseAndOtherAssetsCurrent,83991
IntangibleAssetsNetExcludingGoodwill,81325
TreasuryStockValue,75483
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,70849
LongTermDebtNoncurrent,63773
TreasuryStockShares,62305
DeferredTaxLiabilitiesNoncurrent,59834
AllowanceForDoubtfulAccountsReceivableCurrent,58372
MinorityInterest,58160
OtherAssetsCurrent,56726
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,47297
DeferredRevenueCurrent,46600
PrepaidExpenseCurrent,46514
LongTermDebtCurrent,45515
AccountsPayableAndAccruedLiabilitiesCurrent,45303
OtherAssets,44876
EmployeeRelatedLiabilitiesCurrent,44720
OtherLiabilitiesCurrent,43291
DeferredTaxAssetsNetCurrent,38070
LiabilitiesNoncurrent,32956
Cash,32919
AccruedIncomeTaxesCurrent,31548
DeferredTaxAssetsNetNoncurrent,31145
DueToRelatedPartiesCurrent,31032
FiniteLivedIntangibleAssetsNet,30981
OtherLiabilities,25535
PropertyPlantAndEquipmentGross,25084
NotesPayableCurrent,23036
RestrictedCashAndCashEquivalentsAtCarryingValue,22589
ShortTermBorrowings,21333
DeferredRevenueNoncurrent,20885
ShortTermInvestments,20444
InterestPayableCurrent,20282
LongTermDebtAndCapitalLeaseObligations,20041
Deposits,19926
IncomeTaxesReceivable,19187
LoansAndLeasesReceivableNetReportedAmount,18816
ReceivablesNetCurrent,18552
LoansAndLeasesReceivableAllowance,18074
AssetsNoncurrent,17938
OtherAccruedLiabilitiesCurrent,17580
DerivativeLiabilitiesCurrent,17555
AvailableForSaleSecurities,17223
CashAndDueFromBanks,16960
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,15624
EquityMethodInvestments,15581
RestrictedCashAndCashEquivalents,15412
CapitalLeaseObligationsNoncurrent,15289
TaxesPayableCurrent,15177
LongTermDebtAndCapitalLeaseObligationsCurrent,14867
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,14704
CapitalLeaseObligationsCurrent,14684
LongTermDebt,14596
InterestBearingDepositsInBanks,14085
AccountsPayableRelatedPartiesCurrent,13692
NotesPayableRelatedPartiesClassifiedCurrent,13613
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,13549
InterestReceivable,13477
OperatingLeaseRightOfUseAsset,13323
AccountsReceivableNet,12799
DebtCurrent,12693
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,12684
FiniteLivedIntangibleAssetsAccumulatedAmortization,12436
ConvertibleNotesPayableCurrent,12314
DeferredRentCreditNoncurrent,11924
PrepaidExpenseAndOtherAssets,11900
BankOwnedLifeInsurance,11789
CommonStockNoParValue,11676
LongTermNotesPayable,11619
LongTermInvestments,11583
HeldToMaturitySecurities,11562
NoninterestBearingDepositLiabilities,11546
RestrictedCashAndCashEquivalentsNoncurrent,11435
OperatingLeaseLiabilityNoncurrent,11375
CommonStockValueOutstanding,11226
Land,10921
AssetRetirementObligationsNoncurrent,10829
DueFromRelatedPartiesCurrent,10493
RealEstateInvestmentPropertyNet,10441
DerivativeLiabilitiesNoncurrent,10397
LinesOfCreditCurrent,10385
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,10323
DeferredTaxLiabilitiesCurrent,9979
DeferredTaxAssetsLiabilitiesNetNoncurrent,9893
InterestBearingDepositLiabilities,9885
DepositsAssetsNoncurrent,9880
MarketableSecuritiesCurrent,9669
InterestPayableCurrentAndNoncurrent,9666
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,9491
Investments,9255
OperatingLeaseLiabilityCurrent,9208
PartnersCapital,9194
DeferredIncomeTaxLiabilitiesNet,9162
HeldToMaturitySecuritiesFairValue,9160
AccountsPayableTradeCurrent,8851
AvailableForSaleSecuritiesDebtSecurities,8477
FederalHomeLoanBankStock,8427
DeferredFinanceCostsNoncurrentNet,8181
NotesPayable,8149
OtherReceivablesNetCurrent,8078
MachineryAndEquipmentGross,8016
DeferredIncomeTaxAssetsNet,7942
ConstructionInProgressGross,7781
ContractWithCustomerLiabilityCurrent,7744
AvailableForSaleSecuritiesCurrent,7682
DividendsPayableCurrent,7604
LoansAndLeasesReceivableNetOfDeferredIncome,7599
OtherReceivables,7438
RealEstateInvestmentPropertyAccumulatedDepreciation,7407
PreferredStockNoParValue,7317
DividendsPayableCurrentAndNoncurrent,7219
CustomerDepositsCurrent,7196
GeneralPartnersCapitalAccount,6961
ConvertibleLongTermNotesPayable,6713
AccruedIncomeTaxesNoncurrent,6712
AllowanceForDoubtfulAccountsReceivable,6705
LineOfCredit,6692
BuildingsAndImprovementsGross,6650
DeferredRevenue,6625
LimitedPartnersCapitalAccount,6617
AccruedInvestmentIncomeReceivable,6562
DefinedBenefitPensionPlanLiabilitiesNoncurrent,6539
PrepaidTaxes,6519
DeferredTaxAssetsLiabilitiesNetCurrent,6452
SecuritiesSoldUnderAgreementsToRepurchase,6401
NotesAndLoansReceivableNetCurrent,6277
AccruedLiabilitiesAndOtherLiabilities,6242
LongTermLineOfCredit,6050
DueToRelatedPartiesCurrentAndNoncurrent,6048
DeferredTaxAssetsNet,5996
PreferredStockValueOutstanding,5951
LoansPayableCurrent,5920
RedeemableNoncontrollingInterestEquityCarryingAmount,5862
AccountsAndOtherReceivablesNetCurrent,5862
RealEstateInvestmentPropertyAtCost,5808
DerivativeLiabilities,5729
FederalFundsSold,5705
ConvertibleDebtCurrent,5619
IntangibleAssetsNetIncludingGoodwill,5602
TemporaryEquityCarryingAmountAttributableToParent,5586
SecuredDebt,5585
DerivativeAssetsCurrent,5470
NotesPayableRelatedPartiesNoncurrent,5459
MarketableSecurities,5353
OtherIntangibleAssetsNet,5216
PropertyPlantAndEquipmentOther,5186
NotesAndLoansReceivableNetNoncurrent,5133
AccruedLiabilitiesCurrentAndNoncurrent,5106
DueToOfficersOrStockholdersCurrent,5070
DeferredTaxAssetsLiabilitiesNet,4908
DeferredTaxLiabilities,4883
LimitedPartnersCapitalAccountUnitsOutstanding,4862
AccountsPayableCurrentAndNoncurrent,4833
LoansReceivableHeldForSaleNet,4825
SubordinatedDebt,4815
CustomerAdvancesCurrent,4814
OtherInvestments,4809
CashCashEquivalentsAndFederalFundsSold,4776
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,4764
ConvertibleDebtNoncurrent,4741
AccountsReceivableRelatedPartiesCurrent,4717
RealEstateAcquiredThroughForeclosure,4701
TimeDeposits,4608
DueToRelatedPartiesNoncurrent,4604
DebtInstrumentUnamortizedDiscount,4586
DeferredRentCreditCurrent,4559
DeferredFinanceCostsNet,4424
IncomeTaxReceivable,4419
FurnitureAndFixturesGross,4388
AvailableForSaleSecuritiesDebtSecuritiesCurrent,4385
AccountsPayableAndOtherAccruedLiabilitiesCurrent,4371
DepositsSavingsDeposits,4329
FederalHomeLoanBankAdvancesLongTerm,4218
NotesReceivableNet,4193
DeferredPolicyAcquisitionCosts,4192
UnearnedPremiums,4182
WarrantsAndRightsOutstanding,4125
DueToAffiliateCurrent,4115
MarketableSecuritiesNoncurrent,4084
DeferredCosts,4027
DerivativeAssetsNoncurrent,3916
TemporaryEquitySharesOutstanding,3874
InvestmentBuildingAndBuildingImprovements,3873
ShortTermBankLoansAndNotesPayable,3832
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,3819
CommonStockSharesSubscriptions,3816
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,3812
BankOverdrafts,3778
LoansAndLeasesReceivableGrossCarryingAmount,3775
CapitalizedComputerSoftwareNet,3743
OtherRealEstateAndForeclosedAssets,3712
AdvancesFromFederalHomeLoanBanks,3684
LoansReceivableHeldForSaleNetNotPartOfDisposalGroup,3664
AccountsNotesAndLoansReceivableNetCurrent,3663
TradingSecurities,3656
UnearnedESOPShares,3625
TemporaryEquitySharesIssued,3607
LiabilitiesOtherThanLongtermDebtNoncurrent,3599
RegulatoryAssetsNoncurrent,3586
DepositsAssetsCurrent,3517
AvailableForSaleSecuritiesEquitySecurities,3504
AssetsHeldForSaleCurrent,3367
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,3367
StockholdersEquityBeforeTreasuryStock,3359
ContractWithCustomerLiabilityNoncurrent,3349
AccountsAndNotesReceivableNet,3339
DueFromRelatedParties,3336
SecurityDeposit,3281
DeferredCompensationLiabilityClassifiedNoncurrent,3253
OtherBorrowings,3245
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,3239
AccruedSalariesCurrent,3224
AccumulatedDistributionsInExcessOfNetIncome,3207
AvailableForSaleSecuritiesNoncurrent,3192
LeaseholdImprovementsGross,3191
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,3179
LiabilityForUncertainTaxPositionsNoncurrent,3161
RegulatoryLiabilityNoncurrent,3160
